ds,yhat,yhat_lower,yhat_upper
2024-01-09,95371.08325395736,-46807.101200850535,227807.5308005102
2024-01-10,103735.48043450361,-40581.781712532465,243590.75399523033
2024-01-11,80636.89219857976,-62249.91511953355,219289.2300259127
2024-01-12,73785.2180689304,-61155.64970476737,214248.6177774363
2024-01-13,84698.83012293755,-53195.576965448694,224567.1335051886
2024-01-14,113960.52114320456,-24043.621046834916,249116.11659885503
2024-01-15,88650.15154060343,-58209.38155343989,231156.82156745472
2024-01-16,95045.15423665561,-41180.02535312929,241697.31624165244
2024-01-17,103409.55141979588,-27305.987179781227,244432.5019983731
2024-01-18,80310.96318651234,-53182.66349792626,217767.21923136263
2024-01-19,73459.28905950865,-54882.863038710566,214852.60173101389
2024-01-20,84372.90111618555,-55002.21441137696,229399.30725978268
2024-01-21,113634.59213904158,-31061.60719237235,251904.44187469027
2024-01-22,88324.22253909062,-41657.9179796579,218715.63352922938
2024-01-23,94719.22523519039,-42392.64616979615,231717.75350734722
2024-01-24,103083.62241830437,-43362.49544382997,243678.9306404928
2024-01-25,79985.03418501352,-53778.2014275685,222310.65184860938
2024-01-26,73133.3600580086,-48349.64028451372,207615.4552127317
2024-01-27,84046.97211469719,-60127.64141488262,220122.11867298227
2024-01-28,113308.6631375414,-24142.44978672884,258525.05974662607
2024-01-29,87998.29353763718,-60149.61358360395,228322.62486962
2024-01-30,94393.29623372518,-36370.33243852597,238713.61233892344
2024-01-31,102757.693416804,-35647.36572419103,241658.72278631467
2024-02-01,79659.10518350638,-64162.6080901871,221298.29787892185
2024-02-02,72807.43105650859,-71998.5311115986,218213.34331616756
2024-02-03,83721.0431151561,-63990.16422474254,217594.76468700854
2024-02-04,112982.73413992167,-27823.132064092195,248990.6338323918
2024-02-05,87672.36454191456,-51796.304086494245,227743.26873345202
2024-02-06,94067.36723997981,-59764.22650623263,224581.38525303977
2024-02-07,102431.76442501042,-41227.40572856014,244057.76514244938
2024-02-08,79333.1761936557,-58313.717151853576,216638.8526385383
2024-02-09,72481.50206857751,-70429.79683591757,210806.57410340154
2024-02-10,83395.1141272632,-52790.97372279941,227798.38466398913
2024-02-11,112656.80515199549,-28238.48370530746,246903.62586244158
2024-02-12,87346.43555402516,-63290.839753403794,216450.8990199465
2024-02-13,93741.43825205852,-47154.00536102659,239039.415668226
2024-02-14,102105.83543705134,-40839.93272307704,241414.7620630147
2024-02-15,79007.24720570505,-71543.24560059098,219548.0363493173
2024-02-16,72155.57308064074,-71705.68909138475,213098.56770079743
2024-02-17,83069.18513936432,-46514.94801029723,221344.1562391171
2024-02-18,112330.87616406931,-31437.97838379646,265103.40691869933
2024-02-19,87020.50656606795,-53642.794730769965,218817.5200831493
2024-02-20,93415.50927236686,-48048.1134980595,232701.42692026164
2024-02-21,101779.90646565413,-41133.372664943316,248774.35555582226
2024-02-22,78681.31824263856,-64652.542983774125,224698.6011483544
2024-02-23,71829.64412588021,-78276.0984780062,207264.46273808216
2024-02-24,82743.25619287015,-49643.13101012325,223907.40342181135
